method,scenario,seed,parser_mode,CumulativeUtility,AverageSlateUtility,ClickRate,LeaveRate,AverageSessionLength,SlateDiversity,CategoryCoverage,InstructionUplift@1,InstructionUplift@H,OverCorrectionRegret@1,OverCorrectionRegret@H,DuringHorizonUtility,PostExpiryRecoveryUtility,PostExpirySuppressionRegret,ExpiredConstraintViolationRate,DriftRecoveryTurns,RollbackAccuracy,MemoryContaminationRate,PromotionPrecision,PromotionRecall,ScopeClassificationAccuracy,parser_scope_error,memory_update_error,policy_application_error,candidate_coverage_error,status
none,temporary_fatigue,0,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,3.1799999999999997,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,temporary_fatigue,0,deterministic,13.65,1.1375,1.0,0.0,12,0.8666666666666667,11,0.0,-0.1800000000000006,0.0,0.0,3.0,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,temporary_fatigue,0,deterministic,13.272,1.1059999999999999,0.8333333333333334,0.0,12,0.9166666666666667,11,0.0,-0.1800000000000006,0.0,0.0,3.0,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,temporary_fatigue,0,deterministic,14.479999999999999,1.2066666666666666,1.0,0.0,12,0.8333333333333334,11,0.0,0.17999999999999972,0.0,0.0,3.0,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,temporary_fatigue,0,deterministic,21.419999999999998,1.785,1.0,0.0,12,0.8166666666666667,11,-0.3599999999999999,0.3199999999999994,0.0,0.15999999999999837,4.5,3.7199999999999998,0.1599999999999997,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,stable_dislike,0,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,stable_dislike,0,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,stable_dislike,0,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,stable_dislike,0,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,stable_dislike,0,deterministic,21.24,1.77,1.0,0.0,12,0.95,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,diversity_request,0,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_request,0,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,diversity_request,0,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,diversity_request,0,deterministic,16.81,1.4008333333333334,1.0,0.0,12,0.8666666666666667,11,-0.5800000000000001,1.0000000000000009,-0.5800000000000001,1.0000000000000009,0.9199999999999999,5.7,1.580000000000001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,diversity_request,0,deterministic,21.59,1.7991666666666666,1.0,0.0,12,0.8166666666666667,11,-0.6599999999999999,0.45999999999999996,-0.6599999999999999,0.45999999999999996,0.9199999999999999,7.4399999999999995,1.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,session_context,0,deterministic,16.52,1.3766666666666667,1.0,0.0,12,0.9833333333333334,11,0.0,0.0,0.0,0.0,4.63,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,session_context,0,deterministic,16.136,1.3446666666666667,0.9166666666666666,0.0,12,0.9833333333333334,11,0.0,-0.16999999999999993,0.0,0.0,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,session_context,0,deterministic,16.35,1.3625,1.0,0.0,12,0.9666666666666667,11,0.0,-0.16999999999999993,0.0,0.009999999999999787,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,session_context,0,deterministic,16.35,1.3625,1.0,0.0,12,0.9666666666666667,11,0.0,-0.16999999999999993,0.0,0.0,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,session_context,0,deterministic,21.139999999999997,1.7616666666666665,1.0,0.0,12,1.0,10,0.0,0.0,0.0,0.0,6.239999999999999,1.5599999999999998,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,genuine_drift,0,deterministic,14.361999999999998,1.1968333333333332,0.9166666666666666,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,genuine_drift,0,deterministic,12.908,1.0756666666666665,0.6666666666666666,0.0,12,0.7833333333333333,11,0.0,-0.3700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,genuine_drift,0,deterministic,14.361999999999998,1.1968333333333332,0.9166666666666666,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,genuine_drift,0,deterministic,14.164,1.1803333333333332,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,-0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,genuine_drift,0,deterministic,23.58,1.9649999999999999,1.0,0.0,12,0.75,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,behavioral_rollback,0,deterministic,12.871999999999998,1.0726666666666667,0.9166666666666666,0.0,12,0.9,11,0.0,0.0,0.0,0.0,4.542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,behavioral_rollback,0,deterministic,11.916,0.993,0.9166666666666666,0.0,12,0.8833333333333333,11,-0.1439999999999998,-0.3639999999999999,0.0,0.0,4.178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,behavioral_rollback,0,deterministic,10.18,0.9254545454545454,0.36363636363636365,0.09090909090909091,11,0.8363636363636364,11,0.0,-0.5840000000000005,0.1439999999999998,-0.22000000000000064,3.9579999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,behavioral_rollback,0,deterministic,14.739999999999998,1.2283333333333333,1.0,0.0,12,0.8666666666666667,11,-0.1439999999999998,0.8759999999999994,0.0,0.0,5.417999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,behavioral_rollback,0,deterministic,20.54,1.7116666666666667,1.0,0.0,12,0.8333333333333334,11,-0.7039999999999998,-1.662,0.0,2.04,6.2379999999999995,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,mixed_multi_turn,0,deterministic,14.95,1.2458333333333331,1.0,0.0,12,0.8333333333333334,11,0.0,0.0,0.0,0.0,2.9899999999999998,1.7639999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,mixed_multi_turn,0,deterministic,13.681999999999999,1.1401666666666666,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,-1.033999999999999,0.0,0.0,2.6799999999999997,1.6079999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,mixed_multi_turn,0,deterministic,14.53,1.2108333333333332,0.9166666666666666,0.0,12,0.8666666666666667,11,0.0,-0.7999999999999989,0.0,-0.5920000000000005,2.708,1.525,-0.14400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,mixed_multi_turn,0,deterministic,14.95,1.2458333333333333,1.0,0.0,12,0.85,11,0.0,0.13000000000000256,0.0,0.0,3.04,2.1899999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,mixed_multi_turn,0,deterministic,20.82,1.7349999999999999,1.0,0.0,12,0.8,11,-0.3599999999999999,0.3200000000000003,0.0,0.16000000000000014,4.859999999999999,3.7199999999999998,0.07999999999999985,0.4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,temporary_fatigue,1,deterministic,13.886,1.1571666666666667,0.9166666666666666,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,3.1799999999999997,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,temporary_fatigue,1,deterministic,13.65,1.1375,1.0,0.0,12,0.8666666666666667,11,0.0,-0.2140000000000004,0.0,0.0,2.966,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,temporary_fatigue,1,deterministic,13.272,1.1059999999999999,0.8333333333333334,0.0,12,0.9166666666666667,11,0.0,-0.1800000000000006,0.0,0.03399999999999981,3.0,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,temporary_fatigue,1,deterministic,14.479999999999999,1.2066666666666666,1.0,0.0,12,0.8333333333333334,11,0.0,0.1459999999999999,0.0,0.0,2.966,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,temporary_fatigue,1,deterministic,21.419999999999998,1.785,1.0,0.0,12,0.8166666666666667,11,-0.3599999999999999,0.3199999999999994,0.0,0.15999999999999837,4.5,3.7199999999999998,0.1599999999999997,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,stable_dislike,1,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,stable_dislike,1,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,stable_dislike,1,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,stable_dislike,1,deterministic,16.34,1.3616666666666666,1.0,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,stable_dislike,1,deterministic,21.24,1.77,1.0,0.0,12,0.95,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,diversity_request,1,deterministic,13.886,1.1571666666666667,0.9166666666666666,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_request,1,deterministic,13.886,1.1571666666666667,0.9166666666666666,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,diversity_request,1,deterministic,13.886,1.1571666666666667,0.9166666666666666,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,diversity_request,1,deterministic,16.78,1.3983333333333332,0.9166666666666666,0.0,12,0.8666666666666667,11,-0.5800000000000001,0.9600000000000009,-0.5800000000000001,0.9600000000000009,0.9199999999999999,5.66,1.540000000000001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,diversity_request,1,deterministic,21.56,1.7966666666666666,0.9166666666666666,0.0,12,0.8166666666666667,11,-0.6599999999999999,0.45999999999999996,-0.6599999999999999,0.45999999999999996,0.9199999999999999,7.4399999999999995,1.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,session_context,1,deterministic,16.52,1.3766666666666667,1.0,0.0,12,0.9833333333333334,11,0.0,0.0,0.0,0.0,4.63,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
