method,scenario,seed,parser_mode,CumulativeUtility,AverageSlateUtility,ClickRate,LeaveRate,AverageSessionLength,SlateDiversity,CategoryCoverage,InstructionUplift@1,InstructionUplift@H,OverCorrectionRegret@1,OverCorrectionRegret@H,DuringHorizonUtility,PostExpiryRecoveryUtility,PostExpirySuppressionRegret,ExpiredConstraintViolationRate,DriftRecoveryTurns,RollbackAccuracy,MemoryContaminationRate,PromotionPrecision,PromotionRecall,ScopeClassificationAccuracy,parser_scope_error,memory_update_error,policy_application_error,candidate_coverage_error,status
flat,session_context,1,deterministic,16.136,1.3446666666666667,0.9166666666666666,0.0,12,0.9833333333333334,11,0.0,-0.16999999999999993,0.0,0.0,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,session_context,1,deterministic,16.35,1.3625,1.0,0.0,12,0.9666666666666667,11,0.0,-0.16999999999999993,0.0,0.009999999999999787,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,session_context,1,deterministic,16.35,1.3625,1.0,0.0,12,0.9666666666666667,11,0.0,-0.20999999999999996,0.0,0.0,4.42,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,session_context,1,deterministic,21.139999999999997,1.7616666666666665,1.0,0.0,12,1.0,10,0.0,0.0,0.0,0.0,6.239999999999999,1.5599999999999998,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,genuine_drift,1,deterministic,14.328,1.194,0.8333333333333334,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,genuine_drift,1,deterministic,12.908,1.0756666666666665,0.6666666666666666,0.0,12,0.7833333333333333,11,0.0,-0.3179999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,genuine_drift,1,deterministic,14.328,1.194,0.8333333333333334,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,genuine_drift,1,deterministic,14.164,1.1803333333333332,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,0.0420000000000007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,genuine_drift,1,deterministic,23.58,1.9649999999999999,1.0,0.0,12,0.75,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,behavioral_rollback,1,deterministic,12.835999999999999,1.0696666666666665,0.8333333333333334,0.0,12,0.9,11,0.0,0.0,0.0,0.0,4.529999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,behavioral_rollback,1,deterministic,11.924,0.9936666666666666,0.9166666666666666,0.0,12,0.8833333333333333,11,-0.1439999999999998,-0.3619999999999992,0.0,0.0,4.168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,behavioral_rollback,1,deterministic,10.18,0.9254545454545454,0.36363636363636365,0.09090909090909091,11,0.8363636363636364,11,0.0,-0.5720000000000001,0.1439999999999998,-0.21000000000000085,3.9579999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,behavioral_rollback,1,deterministic,14.739999999999998,1.2283333333333333,1.0,0.0,12,0.8666666666666667,11,-0.1439999999999998,0.8780000000000001,0.0,0.0,5.4079999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,behavioral_rollback,1,deterministic,20.54,1.7116666666666667,1.0,0.0,12,0.8333333333333334,11,-0.7039999999999998,-1.6239999999999997,0.0,2.0679999999999996,6.276,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,mixed_multi_turn,1,deterministic,14.915999999999999,1.2429999999999999,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,0.0,0.0,0.0,2.9899999999999998,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,mixed_multi_turn,1,deterministic,13.681999999999999,1.1401666666666666,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,-1.1240000000000006,0.0,0.0,2.6630000000000003,1.6079999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,mixed_multi_turn,1,deterministic,14.53,1.2108333333333332,0.9166666666666666,0.0,12,0.8666666666666667,11,0.0,-0.7999999999999989,0.0,-0.5579999999999998,2.708,1.525,-0.14400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,mixed_multi_turn,1,deterministic,14.95,1.2458333333333333,1.0,0.0,12,0.85,11,0.0,0.09600000000000009,0.0,0.0,3.0229999999999997,2.1899999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,mixed_multi_turn,1,deterministic,20.82,1.7349999999999999,1.0,0.0,12,0.8,11,-0.3599999999999999,0.3200000000000003,0.0,0.16000000000000014,4.859999999999999,3.7199999999999998,0.07999999999999985,0.4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,temporary_fatigue,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,3.1799999999999997,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,temporary_fatigue,2,deterministic,13.616,1.1346666666666667,0.9166666666666666,0.0,12,0.8666666666666667,11,0.0,-0.1800000000000006,0.0,0.0,3.0,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,temporary_fatigue,2,deterministic,13.272,1.1059999999999999,0.8333333333333334,0.0,12,0.9166666666666667,11,0.0,-0.1800000000000006,0.0,0.0,3.0,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,temporary_fatigue,2,deterministic,14.446,1.2038333333333333,0.9166666666666666,0.0,12,0.8333333333333334,11,0.0,0.17999999999999972,0.0,0.0,3.0,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,temporary_fatigue,2,deterministic,21.419999999999998,1.785,1.0,0.0,12,0.8166666666666667,11,-0.3599999999999999,0.3199999999999994,0.0,0.15999999999999837,4.5,3.7199999999999998,0.1599999999999997,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,stable_dislike,2,deterministic,16.306,1.3588333333333333,0.9166666666666666,0.0,12,0.9333333333333333,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,stable_dislike,2,deterministic,21.24,1.77,1.0,0.0,12,0.95,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,diversity_request,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,diversity_request,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,diversity_request,2,deterministic,13.92,1.16,1.0,0.0,12,0.8500000000000001,11,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,diversity_request,2,deterministic,16.81,1.4008333333333334,1.0,0.0,12,0.8666666666666667,11,-0.55,1.0300000000000002,-0.55,1.0300000000000002,0.95,5.7,1.580000000000001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,diversity_request,2,deterministic,21.59,1.7991666666666666,1.0,0.0,12,0.8166666666666667,11,-0.6299999999999999,0.4899999999999993,-0.6299999999999999,0.4899999999999993,0.95,7.4399999999999995,1.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,session_context,2,deterministic,16.52,1.3766666666666667,1.0,0.0,12,0.9833333333333334,11,0.0,0.0,0.0,0.0,4.63,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,session_context,2,deterministic,16.136,1.3446666666666667,0.9166666666666666,0.0,12,0.9833333333333334,11,0.0,-0.16999999999999993,0.0,0.0,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,session_context,2,deterministic,16.35,1.3625,1.0,0.0,12,0.9666666666666667,11,0.0,-0.16999999999999993,0.0,0.009999999999999787,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,session_context,2,deterministic,16.35,1.3625,1.0,0.0,12,0.9666666666666667,11,0.0,-0.16999999999999993,0.0,0.0,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,session_context,2,deterministic,21.139999999999997,1.7616666666666665,1.0,0.0,12,1.0,10,0.0,0.0,0.0,0.0,6.239999999999999,1.5599999999999998,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,genuine_drift,2,deterministic,14.399999999999999,1.2,1.0,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,genuine_drift,2,deterministic,12.908,1.0756666666666665,0.6666666666666666,0.0,12,0.7833333333333333,11,0.0,-0.3700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,genuine_drift,2,deterministic,14.399999999999999,1.2,1.0,0.0,12,0.8166666666666667,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,genuine_drift,2,deterministic,14.209999999999999,1.1841666666666666,1.0,0.0,12,0.8333333333333334,11,0.0,-0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,genuine_drift,2,deterministic,23.58,1.9649999999999999,1.0,0.0,12,0.75,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,behavioral_rollback,2,deterministic,12.889999999999999,1.0741666666666665,1.0,0.0,12,0.9,11,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,behavioral_rollback,2,deterministic,11.889999999999999,0.9908333333333333,0.8333333333333334,0.0,12,0.8833333333333333,11,-0.09999999999999987,-0.3199999999999994,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,behavioral_rollback,2,deterministic,10.18,0.9254545454545454,0.36363636363636365,0.09090909090909091,11,0.8363636363636364,11,0.0,-0.6020000000000003,0.09999999999999987,-0.2820000000000009,3.9579999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,behavioral_rollback,2,deterministic,14.739999999999998,1.2283333333333333,1.0,0.0,12,0.8666666666666667,11,-0.09999999999999987,0.9199999999999999,0.0,0.0,5.4799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,behavioral_rollback,2,deterministic,20.54,1.7116666666666667,1.0,0.0,12,0.8333333333333334,11,-0.6599999999999999,-1.58,0.0,2.04,6.319999999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
none,mixed_multi_turn,2,deterministic,14.95,1.2458333333333331,1.0,0.0,12,0.8333333333333334,11,0.0,0.0,0.0,0.0,2.9899999999999998,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
flat,mixed_multi_turn,2,deterministic,13.648,1.1373333333333333,0.8333333333333334,0.0,12,0.8333333333333334,11,0.0,-1.0899999999999999,0.0,0.0,2.6799999999999997,1.6079999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
structured,mixed_multi_turn,2,deterministic,14.53,1.2108333333333332,0.9166666666666666,0.0,12,0.8666666666666667,11,0.0,-0.7999999999999989,0.0,-0.5920000000000005,2.708,1.525,-0.14400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
time_decay,mixed_multi_turn,2,deterministic,14.915999999999999,1.2429999999999999,0.9166666666666666,0.0,12,0.85,11,0.0,0.13000000000000256,0.0,0.0,3.04,2.1899999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
critiquescope,mixed_multi_turn,2,deterministic,20.82,1.7349999999999999,1.0,0.0,12,0.8,11,-0.3599999999999999,0.3200000000000003,0.0,0.16000000000000014,4.859999999999999,3.7199999999999998,0.07999999999999985,0.4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,SMOKE_TEST_ONLY
