scenario,seed,method,invariant,passed,critical,observed,expected,trace_ref
temporary_fatigue,0,critiquescope,follow_outperforms_over_apply,False,True,"{""follow_utility"": 8.06, ""over_apply_utility"": 8.06}","{""relationship"": ""follow > over_apply""}",temporary_fatigue:critiquescope:0:follow_outperforms_over_apply
temporary_fatigue,0,critiquescope,suppression_expires_after_horizon,False,True,"{""suppressed_turn"": 3, ""recovered_turn"": 7, ""suppressed_contains_target_top2"": false, ""recovered_contains_target_top2"": false}","{""suppressed_top2"": false, ""post_expiry_eligible"": true}",temporary_fatigue:critiquescope:0:suppression_expires_after_horizon
temporary_fatigue,0,flat,flat_retains_longer_suppression_than_critiquescope,False,True,"{""critiquescope_post_expiry_contains_target_top2"": false, ""flat_post_expiry_contains_target"": false}","{""critiquescope_recovers"": true, ""flat_post_expiry_suppresses"": true}",temporary_fatigue:flat:0:flat_retains_longer_suppression_than_critiquescope
temporary_fatigue,0,critiquescope,post_expiry_target_eligible_again,False,True,"{""turn"": 7, ""contains_target_top2"": false}","{""contains_target"": true}",temporary_fatigue:critiquescope:0:post_expiry_target_eligible_again
temporary_fatigue,1,critiquescope,follow_outperforms_over_apply,False,True,"{""follow_utility"": 8.06, ""over_apply_utility"": 8.06}","{""relationship"": ""follow > over_apply""}",temporary_fatigue:critiquescope:1:follow_outperforms_over_apply
temporary_fatigue,1,critiquescope,suppression_expires_after_horizon,False,True,"{""suppressed_turn"": 3, ""recovered_turn"": 7, ""suppressed_contains_target_top2"": false, ""recovered_contains_target_top2"": false}","{""suppressed_top2"": false, ""post_expiry_eligible"": true}",temporary_fatigue:critiquescope:1:suppression_expires_after_horizon
temporary_fatigue,1,flat,flat_retains_longer_suppression_than_critiquescope,False,True,"{""critiquescope_post_expiry_contains_target_top2"": false, ""flat_post_expiry_contains_target"": false}","{""critiquescope_recovers"": true, ""flat_post_expiry_suppresses"": true}",temporary_fatigue:flat:1:flat_retains_longer_suppression_than_critiquescope
temporary_fatigue,1,critiquescope,post_expiry_target_eligible_again,False,True,"{""turn"": 7, ""contains_target_top2"": false}","{""contains_target"": true}",temporary_fatigue:critiquescope:1:post_expiry_target_eligible_again
temporary_fatigue,2,critiquescope,follow_outperforms_over_apply,False,True,"{""follow_utility"": 8.06, ""over_apply_utility"": 8.06}","{""relationship"": ""follow > over_apply""}",temporary_fatigue:critiquescope:2:follow_outperforms_over_apply
temporary_fatigue,2,critiquescope,suppression_expires_after_horizon,False,True,"{""suppressed_turn"": 3, ""recovered_turn"": 7, ""suppressed_contains_target_top2"": false, ""recovered_contains_target_top2"": false}","{""suppressed_top2"": false, ""post_expiry_eligible"": true}",temporary_fatigue:critiquescope:2:suppression_expires_after_horizon
temporary_fatigue,2,flat,flat_retains_longer_suppression_than_critiquescope,False,True,"{""critiquescope_post_expiry_contains_target_top2"": false, ""flat_post_expiry_contains_target"": false}","{""critiquescope_recovers"": true, ""flat_post_expiry_suppresses"": true}",temporary_fatigue:flat:2:flat_retains_longer_suppression_than_critiquescope
temporary_fatigue,2,critiquescope,post_expiry_target_eligible_again,False,True,"{""turn"": 7, ""contains_target_top2"": false}","{""contains_target"": true}",temporary_fatigue:critiquescope:2:post_expiry_target_eligible_again
stable_dislike,0,critiquescope,persistent_filter_enters_slow_memory,False,True,"{""slow_targets"": [""political""]}","{""slow_target"": ""politics""}",stable_dislike:critiquescope:0:persistent_filter_enters_slow_memory
stable_dislike,0,critiquescope,follow_outperforms_ignore_when_disliked_items_exposed,True,True,"{""follow_utility"": 8.57, ""ignore_utility"": 8.57, ""ignore_exposes_target"": false}","{""relationship"": ""follow > ignore when ignore branch still exposes target""}",stable_dislike:critiquescope:0:follow_outperforms_ignore_when_disliked_items_exposed
stable_dislike,0,critiquescope,filter_survives_session_reset,False,True,"{""turn"": 6, ""slow_targets"": [""political""], ""slate_contains_target"": false}","{""slow_target_persists"": true, ""slate_contains_target"": false}",stable_dislike:critiquescope:0:filter_survives_session_reset
stable_dislike,1,critiquescope,persistent_filter_enters_slow_memory,False,True,"{""slow_targets"": [""political""]}","{""slow_target"": ""politics""}",stable_dislike:critiquescope:1:persistent_filter_enters_slow_memory
stable_dislike,1,critiquescope,follow_outperforms_ignore_when_disliked_items_exposed,True,True,"{""follow_utility"": 8.57, ""ignore_utility"": 8.57, ""ignore_exposes_target"": false}","{""relationship"": ""follow > ignore when ignore branch still exposes target""}",stable_dislike:critiquescope:1:follow_outperforms_ignore_when_disliked_items_exposed
stable_dislike,1,critiquescope,filter_survives_session_reset,False,True,"{""turn"": 6, ""slow_targets"": [""political""], ""slate_contains_target"": false}","{""slow_target_persists"": true, ""slate_contains_target"": false}",stable_dislike:critiquescope:1:filter_survives_session_reset
stable_dislike,2,critiquescope,persistent_filter_enters_slow_memory,False,True,"{""slow_targets"": [""political""]}","{""slow_target"": ""politics""}",stable_dislike:critiquescope:2:persistent_filter_enters_slow_memory
stable_dislike,2,critiquescope,follow_outperforms_ignore_when_disliked_items_exposed,True,True,"{""follow_utility"": 8.57, ""ignore_utility"": 8.57, ""ignore_exposes_target"": false}","{""relationship"": ""follow > ignore when ignore branch still exposes target""}",stable_dislike:critiquescope:2:follow_outperforms_ignore_when_disliked_items_exposed
stable_dislike,2,critiquescope,filter_survives_session_reset,False,True,"{""turn"": 6, ""slow_targets"": [""political""], ""slate_contains_target"": false}","{""slow_target_persists"": true, ""slate_contains_target"": false}",stable_dislike:critiquescope:2:filter_survives_session_reset
diversity_request,0,critiquescope,next_slate_differs_from_pre_critique_slate,True,True,"{""before"": [""ufc_1"", ""ufc_2"", ""boxing_1"", ""windows_1"", ""politics_1""], ""after"": [""science_1"", ""bar_1"", ""fitness_1"", ""linux_1"", ""jazz_1""]}","{""before_after_differ"": true}",diversity_request:critiquescope:0:next_slate_differs_from_pre_critique_slate
diversity_request,0,critiquescope,slate_diversity_increases_or_stays_above_target,True,True,"{""before_diversity"": 4, ""after_diversity"": 5}","{""after_diversity_min"": 4}",diversity_request:critiquescope:0:slate_diversity_increases_or_stays_above_target
diversity_request,0,critiquescope,slow_memory_contamination_remains_zero,True,True,"{""slow_targets"": []}","{""slow_targets"": []}",diversity_request:critiquescope:0:slow_memory_contamination_remains_zero
diversity_request,1,critiquescope,next_slate_differs_from_pre_critique_slate,True,True,"{""before"": [""ufc_1"", ""ufc_2"", ""boxing_1"", ""windows_1"", ""politics_1""], ""after"": [""science_1"", ""bar_1"", ""fitness_1"", ""linux_1"", ""jazz_1""]}","{""before_after_differ"": true}",diversity_request:critiquescope:1:next_slate_differs_from_pre_critique_slate
diversity_request,1,critiquescope,slate_diversity_increases_or_stays_above_target,True,True,"{""before_diversity"": 4, ""after_diversity"": 5}","{""after_diversity_min"": 4}",diversity_request:critiquescope:1:slate_diversity_increases_or_stays_above_target
diversity_request,1,critiquescope,slow_memory_contamination_remains_zero,True,True,"{""slow_targets"": []}","{""slow_targets"": []}",diversity_request:critiquescope:1:slow_memory_contamination_remains_zero
diversity_request,2,critiquescope,next_slate_differs_from_pre_critique_slate,True,True,"{""before"": [""ufc_1"", ""ufc_2"", ""boxing_1"", ""windows_1"", ""politics_1""], ""after"": [""science_1"", ""bar_1"", ""fitness_1"", ""linux_1"", ""jazz_1""]}","{""before_after_differ"": true}",diversity_request:critiquescope:2:next_slate_differs_from_pre_critique_slate
diversity_request,2,critiquescope,slate_diversity_increases_or_stays_above_target,True,True,"{""before_diversity"": 4, ""after_diversity"": 5}","{""after_diversity_min"": 4}",diversity_request:critiquescope:2:slate_diversity_increases_or_stays_above_target
diversity_request,2,critiquescope,slow_memory_contamination_remains_zero,True,True,"{""slow_targets"": []}","{""slow_targets"": []}",diversity_request:critiquescope:2:slow_memory_contamination_remains_zero
session_context,0,critiquescope,contextual_preference_improves_in_session_ranking,True,True,"{""rank_before"": 1, ""rank_after"": 1}","{""rank_after_lte_before"": true}",session_context:critiquescope:0:contextual_preference_improves_in_session_ranking
session_context,0,critiquescope,contextual_state_expires_after_reset,True,True,"{""active_fast_targets_after_reset"": []}","{""family_active_after_reset"": false}",session_context:critiquescope:0:contextual_state_expires_after_reset
session_context,0,critiquescope,stale_constraint_violation_remains_zero_after_reset,True,True,"{""active_fast_targets_after_reset"": []}","{""no_stale_contextual_target"": true}",session_context:critiquescope:0:stale_constraint_violation_remains_zero_after_reset
session_context,1,critiquescope,contextual_preference_improves_in_session_ranking,True,True,"{""rank_before"": 1, ""rank_after"": 1}","{""rank_after_lte_before"": true}",session_context:critiquescope:1:contextual_preference_improves_in_session_ranking
session_context,1,critiquescope,contextual_state_expires_after_reset,True,True,"{""active_fast_targets_after_reset"": []}","{""family_active_after_reset"": false}",session_context:critiquescope:1:contextual_state_expires_after_reset
session_context,1,critiquescope,stale_constraint_violation_remains_zero_after_reset,True,True,"{""active_fast_targets_after_reset"": []}","{""no_stale_contextual_target"": true}",session_context:critiquescope:1:stale_constraint_violation_remains_zero_after_reset
session_context,2,critiquescope,contextual_preference_improves_in_session_ranking,True,True,"{""rank_before"": 1, ""rank_after"": 1}","{""rank_after_lte_before"": true}",session_context:critiquescope:2:contextual_preference_improves_in_session_ranking
session_context,2,critiquescope,contextual_state_expires_after_reset,True,True,"{""active_fast_targets_after_reset"": []}","{""family_active_after_reset"": false}",session_context:critiquescope:2:contextual_state_expires_after_reset
session_context,2,critiquescope,stale_constraint_violation_remains_zero_after_reset,True,True,"{""active_fast_targets_after_reset"": []}","{""no_stale_contextual_target"": true}",session_context:critiquescope:2:stale_constraint_violation_remains_zero_after_reset
genuine_drift,0,critiquescope,old_preference_weakens_or_is_suppressed,True,True,"{""windows_score_before"": 1.83, ""windows_score_after"": null}","{""windows_score_after_lt_before_or_missing"": true}",genuine_drift:critiquescope:0:old_preference_weakens_or_is_suppressed
genuine_drift,0,critiquescope,new_preference_is_promoted,True,True,"{""slow_targets"": [""mac laptops"", ""windows""], ""mac_rank"": 1}","{""mac_promoted"": true, ""mac_rank_lte"": 2}",genuine_drift:critiquescope:0:new_preference_is_promoted
genuine_drift,0,critiquescope,drift_recovery_turns_bounded,True,True,"{""mac_rank"": 1}","{""mac_rank_lte"": 2}",genuine_drift:critiquescope:0:drift_recovery_turns_bounded
genuine_drift,1,critiquescope,old_preference_weakens_or_is_suppressed,True,True,"{""windows_score_before"": 1.83, ""windows_score_after"": null}","{""windows_score_after_lt_before_or_missing"": true}",genuine_drift:critiquescope:1:old_preference_weakens_or_is_suppressed
genuine_drift,1,critiquescope,new_preference_is_promoted,True,True,"{""slow_targets"": [""mac laptops"", ""windows""], ""mac_rank"": 1}","{""mac_promoted"": true, ""mac_rank_lte"": 2}",genuine_drift:critiquescope:1:new_preference_is_promoted
genuine_drift,1,critiquescope,drift_recovery_turns_bounded,True,True,"{""mac_rank"": 1}","{""mac_rank_lte"": 2}",genuine_drift:critiquescope:1:drift_recovery_turns_bounded
genuine_drift,2,critiquescope,old_preference_weakens_or_is_suppressed,True,True,"{""windows_score_before"": 1.83, ""windows_score_after"": null}","{""windows_score_after_lt_before_or_missing"": true}",genuine_drift:critiquescope:2:old_preference_weakens_or_is_suppressed
genuine_drift,2,critiquescope,new_preference_is_promoted,True,True,"{""slow_targets"": [""mac laptops"", ""windows""], ""mac_rank"": 1}","{""mac_promoted"": true, ""mac_rank_lte"": 2}",genuine_drift:critiquescope:2:new_preference_is_promoted
genuine_drift,2,critiquescope,drift_recovery_turns_bounded,True,True,"{""mac_rank"": 1}","{""mac_rank_lte"": 2}",genuine_drift:critiquescope:2:drift_recovery_turns_bounded
behavioral_rollback,0,critiquescope,positive_reengagement_removes_temporary_attenuation,True,True,"{""rollback_present"": true}","{""rollback_present"": true}",behavioral_rollback:critiquescope:0:positive_reengagement_removes_temporary_attenuation
behavioral_rollback,0,critiquescope,target_score_increases_after_rollback,True,True,"{""score_before"": null, ""score_after"": 1.8599999999999999, ""ufc_present_after_rollback"": true}","{""ufc_present_after_rollback"": true}",behavioral_rollback:critiquescope:0:target_score_increases_after_rollback
behavioral_rollback,1,critiquescope,positive_reengagement_removes_temporary_attenuation,True,True,"{""rollback_present"": true}","{""rollback_present"": true}",behavioral_rollback:critiquescope:1:positive_reengagement_removes_temporary_attenuation
behavioral_rollback,1,critiquescope,target_score_increases_after_rollback,True,True,"{""score_before"": null, ""score_after"": 1.8599999999999999, ""ufc_present_after_rollback"": true}","{""ufc_present_after_rollback"": true}",behavioral_rollback:critiquescope:1:target_score_increases_after_rollback
behavioral_rollback,2,critiquescope,positive_reengagement_removes_temporary_attenuation,True,True,"{""rollback_present"": true}","{""rollback_present"": true}",behavioral_rollback:critiquescope:2:positive_reengagement_removes_temporary_attenuation
behavioral_rollback,2,critiquescope,target_score_increases_after_rollback,True,True,"{""score_before"": null, ""score_after"": 1.8599999999999999, ""ufc_present_after_rollback"": true}","{""ufc_present_after_rollback"": true}",behavioral_rollback:critiquescope:2:target_score_increases_after_rollback
mixed_multi_turn,0,critiquescope,temporary_fatigue_recovers_before_later_drift,False,True,"{""turn"": 6, ""contains_ufc"": false}","{""contains_ufc"": true}",mixed_multi_turn:critiquescope:0:temporary_fatigue_recovers_before_later_drift
mixed_multi_turn,0,critiquescope,later_drift_promotes_mac,False,True,"{""turn"": 8, ""mac_top2"": false}","{""mac_top2"": true}",mixed_multi_turn:critiquescope:0:later_drift_promotes_mac
mixed_multi_turn,1,critiquescope,temporary_fatigue_recovers_before_later_drift,False,True,"{""turn"": 6, ""contains_ufc"": false}","{""contains_ufc"": true}",mixed_multi_turn:critiquescope:1:temporary_fatigue_recovers_before_later_drift
mixed_multi_turn,1,critiquescope,later_drift_promotes_mac,False,True,"{""turn"": 8, ""mac_top2"": false}","{""mac_top2"": true}",mixed_multi_turn:critiquescope:1:later_drift_promotes_mac
mixed_multi_turn,2,critiquescope,temporary_fatigue_recovers_before_later_drift,False,True,"{""turn"": 6, ""contains_ufc"": false}","{""contains_ufc"": true}",mixed_multi_turn:critiquescope:2:temporary_fatigue_recovers_before_later_drift
mixed_multi_turn,2,critiquescope,later_drift_promotes_mac,False,True,"{""turn"": 8, ""mac_top2"": false}","{""mac_top2"": true}",mixed_multi_turn:critiquescope:2:later_drift_promotes_mac
